21:Sumy
1982, 1, 0.046,253.41, 36.09, 67.67, 51.88,
1982, 2, 0.045,254.47, 38.14, 63.53, 50.83,
1982, 3, 0.043,255.75, 39.00, 59.29, 49.14,
1982, 4, 0.043,257.91, 43.21, 51.11, 47.16,
1982, 5, 0.042,259.03, 41.37, 48.49, 44.93,
1982, 6, 0.038,259.83, 32.65, 49.60, 41.12,
1982, 7, 0.038,261.61, 26.26, 49.24, 37.75,
1982, 8, 0.041,263.97, 22.80, 47.85, 35.33,
1982, 9, 0.045,266.49, 21.59, 46.71, 34.15,
1982,10, 0.052,269.43, 22.57, 45.35, 33.96,
1982,11, 0.064,272.64, 25.80, 41.76, 33.78,
1982,12, 0.081,275.40, 30.21, 42.88, 36.55,
1982,13, 0.093,277.63, 30.38, 46.01, 38.20,
1982,14, 0.102,279.55, 27.29, 50.27, 38.78,
1982,15, 0.114,280.96, 22.35, 58.99, 40.67,
1982,16, 0.135,282.59, 19.35, 66.84, 43.09,
1982,17, 0.163,284.55, 17.57, 75.37, 46.47,
1982,18, 0.207,286.79, 21.70, 78.31, 50.00,
1982,19, 0.258,288.95, 25.56, 75.84, 50.70,
1982,20, 0.307,290.86, 27.69, 72.49, 50.09,
1982,21, 0.346,291.80, 29.07, 74.74, 51.91,
1982,22, 0.375,292.19, 28.91, 76.84, 52.87,
1982,23, 0.392,292.34, 26.05, 81.15, 53.60,
1982,24, 0.394,292.01, 17.29, 89.77, 53.53,
1982,25, 0.391,291.81, 12.20, 95.17, 53.69,
1982,26, 0.387,291.64, 11.37, 96.75, 54.06,
1982,27, 0.381,291.66, 11.33, 96.48, 53.91,
1982,28, 0.384,292.12, 16.33, 94.76, 55.55,
1982,29, 0.389,292.57, 25.94, 93.66, 59.80,
1982,30, 0.395,292.84, 37.49, 92.82, 65.16,
1982,31, 0.399,293.09, 45.94, 89.89, 67.91,
1982,32, 0.394,293.25, 48.63, 86.86, 67.75,
1982,33, 0.390,293.28, 52.37, 81.57, 66.97,
1982,34, 0.382,292.45, 55.28, 80.32, 67.80,
1982,35, 0.380,291.79, 62.52, 74.50, 68.51,
1982,36, 0.375,291.60, 70.04, 58.23, 64.13,
1982,37, 0.358,290.51, 73.14, 49.38, 61.26,
1982,38, 0.338,288.73, 73.76, 49.13, 61.44,
1982,39, 0.306,286.73, 67.22, 51.02, 59.12,
1982,40, 0.267,284.55, 58.09, 50.49, 54.29,
1982,41, 0.229,282.21, 51.38, 51.33, 51.36,
1982,42, 0.198,280.13, 48.55, 50.64, 49.59,
1982,43, 0.171,277.62, 49.04, 48.77, 48.91,
1982,44, 0.150,276.13, 51.26, 34.91, 43.09,
1982,45, 0.126,274.67, 47.97, 24.71, 36.34,
1982,46, 0.104,272.66, 43.42, 21.84, 32.63,
1982,47, 0.082,270.08, 36.25, 22.67, 29.46,
1982,48, 0.068,267.72, 33.40, 26.57, 29.98,
1982,49, 0.059,265.69, 32.43, 30.49, 31.46,
1982,50, 0.053,263.03, 32.00, 31.69, 31.85,
1982,51, 0.049,260.74, 31.95, 38.02, 34.98,
1982,52, 0.043,259.46, 27.81, 41.18, 34.50,
1983, 1, 0.040,259.55, 27.49, 38.76, 33.12,
1983, 2, 0.040,259.97, 30.87, 36.10, 33.48,
1983, 3, 0.040,260.16, 34.35, 36.37, 35.36,
1983, 4, 0.038,260.15, 34.15, 39.54, 36.85,
1983, 5, 0.036,260.70, 32.25, 40.36, 36.31,
1983, 6, 0.035,261.30, 27.65, 42.86, 35.25,
1983, 7, 0.034,262.33, 21.65, 46.11, 33.88,
1983, 8, 0.035,263.65, 17.48, 49.22, 33.35,
1983, 9, 0.038,265.45, 16.75, 51.18, 33.96,
1983,10, 0.044,268.12, 17.44, 51.17, 34.31,
1983,11, 0.052,271.30, 18.56, 48.06, 33.31,
1983,12, 0.067,274.97, 22.88, 44.54, 33.71,
1983,13, 0.093,279.52, 30.22, 34.63, 32.43,
1983,14, 0.125,283.35, 38.61, 26.11, 32.36,
1983,15, 0.158,286.32, 43.62, 21.62, 32.62,
1983,16, 0.186,288.01, 42.75, 25.70, 34.23,
1983,17, 0.220,289.90, 42.65, 30.10, 36.37,
1983,18, 0.261,291.87, 44.58, 31.86, 38.22,
1983,19, 0.306,293.10, 46.32, 36.25, 41.28,
1983,20, 0.349,294.03, 47.38, 40.46, 43.92,
1983,21, 0.379,294.47, 45.93, 46.28, 46.10,
1983,22, 0.401,294.54, 43.27, 51.85, 47.56,
1983,23, 0.412,294.26, 37.34, 60.44, 48.89,
1983,24, 0.410,293.72, 26.88, 71.26, 49.07,
1983,25, 0.408,294.10, 22.22, 70.79, 46.51,
1983,26, 0.405,294.83, 21.30, 64.61, 42.96,
1983,27, 0.397,295.16, 19.77, 62.76, 41.26,
1983,28, 0.383,295.26, 14.54, 65.01, 39.77,
1983,29, 0.360,295.26,  8.52, 68.76, 38.64,
1983,30, 0.342,295.07,  7.04, 72.66, 39.85,
1983,31, 0.333,294.84,  8.44, 73.76, 41.10,
1983,32, 0.328,294.61, 10.78, 73.64, 42.21,
1983,33, 0.328,294.50, 16.20, 68.65, 42.43,
1983,34, 0.323,294.12, 20.88, 60.57, 40.73,
1983,35, 0.321,293.84, 29.12, 48.95, 39.04,
1983,36, 0.313,292.92, 35.56, 41.75, 38.66,
1983,37, 0.300,291.48, 40.78, 36.95, 38.87,
1983,38, 0.281,289.53, 42.61, 38.88, 40.75,
1983,39, 0.257,286.31, 39.83, 56.33, 48.08,
1983,40, 0.230,283.64, 37.08, 61.04, 49.06,
1983,41, 0.201,280.66, 34.26, 68.62, 51.44,
1983,42, 0.175,277.76, 33.74, 74.52, 54.13,
1983,43, 0.148,274.75, 32.75, 73.49, 53.12,
1983,44, 0.122,271.22, 31.19, 72.67, 51.93,
1983,45, 0.098,266.83, 25.96, 77.42, 51.69,
1983,46, 0.081,262.32, 23.76, 82.73, 53.25,
1983,47, 0.067,259.59, 22.32, 81.13, 51.72,
1983,48, 0.061,258.35, 27.20, 75.83, 51.51,
1983,49, 0.058,258.10, 31.62, 67.72, 49.67,
1983,50, 0.057,257.56, 37.53, 60.01, 48.77,
1983,51, 0.056,256.41, 41.90, 59.67, 50.78,
1983,52, 0.054,254.81, 44.08, 63.82, 53.95,
